Generation,Max Fitness,Avg Fitness,Alive Count
1,176.00000000000065,18.00666666666668,0
2,603.0999999999976,101.31333333333266,5
3,574.5999999999956,102.85666666666636,5
4,886.0999999999971,142.44666666666637,5
5,620.2999999999932,94.71999999999977,3
6,681.4999999999968,230.59999999999874,10
7,768.2999999999929,204.62999999999954,7
8,949.9,354.65333333333217,15
9,804.5999999999999,177.66333333333307,5
10,831.9999999999983,175.42333333333303,3
11,534.7999999999956,130.5233333333332,2
12,564.9,156.89333333333352,1
13,896.0999999999926,209.2899999999993,8
14,598.1999999999975,177.68999999999963,4
15,1030.6999999999985,269.84666666666595,9
