Generation,Max Fitness,Avg Fitness,Alive Count
1,99.80000000000013,10.350000000000001,0
2,363.69999999999766,78.34666666666654,2
3,472.6999999999982,141.32666666666665,2
4,869.9999999999978,166.47666666666632,5
5,837.2999999999894,180.8466666666659,6
6,1186.6000000000006,229.053333333333,11
7,813.7999999999935,195.20999999999938,5
8,792.2999999999948,150.76333333333295,6
9,864.9,243.1266666666661,8
10,979.3999999999993,217.2699999999998,9
11,946.4999999999932,207.49999999999957,6
12,878.5999999999926,214.4133333333324,8
13,648.3999999999968,161.63333333333287,3
14,1006.2999999999945,171.0766666666661,3
15,1009.2999999999964,462.2633333333306,16
16,810.5999999999915,264.49333333333266,6
17,1235.3999999999992,401.7899999999981,13
18,1003.5999999999999,267.08333333333195,13
19,1076.5000000000007,219.4933333333328,7
20,1215.5000000000023,374.816666666666,15
21,1185.2000000000005,432.86999999999915,17
22,1233.7999999999993,347.26999999999856,15
23,982.9999999999975,376.07666666666523,16
24,1140.1000000000017,401.28333333333245,14
25,977.6999999999958,325.49666666666525,13
26,1243.1999999999978,294.0399999999989,11
27,1095.299999999998,369.24333333333215,17
28,1057.9999999999968,373.86333333333215,17
29,977.1999999999972,421.713333333331,18
30,977.8999999999971,353.4033333333321,15
31,979.399999999998,401.4666666666645,15
32,1064.8999999999992,354.45333333333184,14
33,1229.5999999999983,539.6199999999974,18
34,1072.3999999999994,584.6833333333302,23
35,1050.999999999996,428.7799999999978,18
36,1229.3,535.5133333333309,22
37,1242.3999999999996,624.8166666666638,22
38,1032.7999999999988,623.2699999999976,23
39,1186.8000000000013,489.5066666666646,17
40,1037.299999999996,375.6433333333318,11
41,1157.7000000000019,544.4066666666644,18
42,1233.9000000000005,421.2666666666654,15
43,1112.499999999998,482.2366666666649,17
44,1220.700000000002,407.46666666666613,14
45,1102.3999999999987,587.183333333331,23
46,1082.7999999999988,479.3999999999986,19
