Generation,Max Exploration,Avg Exploration,Alive Count
1,2101.7600000000207,268.8186666666673,1
2,4033.000000000028,941.2573333333411,5
3,3829.4800000000296,920.0400000000093,5
4,2444.0800000000254,824.3400000000106,3
5,-174.23999999999998,-174.23999999999987,0
6,2848.1200000000185,776.777333333341,2
7,2305.160000000016,1152.7000000000128,3
8,3368.080000000029,1382.5253333333483,4
9,3567.240000000025,1313.8986666666785,2
10,2374.7200000000166,856.3040000000086,5
11,3577.0400000000236,1292.1360000000104,4
12,2981.1200000000326,894.7693333333438,2
13,3835.6400000000285,1773.1626666666857,6
14,3332.640000000026,991.8600000000105,5
15,3157.4400000000205,890.1320000000081,1
16,3684.920000000025,1567.654666666681,1
17,3021.0000000000255,1095.3053333333473,2
18,3305.0800000000236,1093.4600000000132,8
